Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation pAUC
1,0.17872864464879967,0.9532665014266968,0.11613869888242334,0.9618395566940308,0.5333333611488342,0.10126582533121109,0.1702127605676651,0.12417818146680834
2,0.1279324956049095,0.9631759524345398,0.12021307209943188,0.9667319059371948,0.7037037014961243,0.2405063360929489,0.35849055647850037,0.11938029439237281
3,0.11872914462219342,0.9661121368408203,0.1262046384072164,0.9598825573921204,0.4769230782985687,0.39240506291389465,0.4305555522441864,0.12819145167004858
4,0.11288346119727066,0.9659897685050964,0.10444755401840666,0.9691780805587769,0.7352941036224365,0.3164556920528412,0.44247788190841675,0.13420169420555927
5,0.11026605143615598,0.9668461680412292,0.13022688451019349,0.965753436088562,0.6451612710952759,0.2531645596027374,0.3636363744735718,0.13455084227139494
6,0.11500131140655867,0.970638632774353,0.11855893010942964,0.9691780805587769,0.6481481194496155,0.4430379867553711,0.5263158082962036,0.1342429220214513
7,0.10703964924050524,0.969537615776062,0.12875286956841592,0.9652642011642456,0.6000000238418579,0.3037974536418915,0.40336135029792786,0.1460611331207524
8,0.10001695766004559,0.970883309841156,0.12009717442197143,0.965753436088562,0.5849056839942932,0.39240506291389465,0.469696968793869,0.13378039746191253
9,0.09352732595925772,0.9730854630470276,0.11232954297520337,0.9701565504074097,0.6666666865348816,0.4556961953639984,0.5413534045219421,0.134188810513093
10,0.09600942726638095,0.9732077717781067,0.10891466175417008,0.9686888456344604,0.6744186282157898,0.3670886158943176,0.4754098355770111,0.14099526524301864
