Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation pAUC
1,0.2845314688502102,0.9103528261184692,0.22931278071233205,0.9144508838653564,0.6666666865348816,0.1265822798013687,0.21276596188545227,0.09432795439172864
2,0.21435723723758252,0.9210526347160339,0.20153248695922749,0.9283236861228943,0.7931034564971924,0.29113924503326416,0.42592594027519226,0.11776017006474053
3,0.19516106978605646,0.931174099445343,0.18264410804424966,0.9294797778129578,0.7142857313156128,0.37974682450294495,0.4958677589893341,0.1371758946113956
4,0.19627460967236704,0.925679624080658,0.18150698460106338,0.9283236861228943,0.7428571581840515,0.3291139304637909,0.45614033937454224,0.1355364447450639
5,0.1755228052513862,0.9337767958641052,0.19236892967351846,0.9260115623474121,0.7027027010917664,0.3291139304637909,0.4482758641242981,0.12815408896189645
6,0.1625815987792037,0.9404280185699463,0.20385519435097063,0.9387283325195312,0.7708333134651184,0.4683544337749481,0.5826771855354309,0.14671948980577829
7,0.17128399014472961,0.9398496747016907,0.19101594814232417,0.9190751314163208,0.5569620132446289,0.5569620132446289,0.5569620132446289,0.16213160691854284
8,0.15489135778278385,0.9424523115158081,0.1762946607278926,0.9341040253639221,0.6964285969734192,0.49367088079452515,0.5777778029441833,0.13768157954069632
9,0.13827545761446888,0.9508386850357056,0.40127011741112384,0.9341040253639221,0.6896551847457886,0.5063291192054749,0.5839415788650513,0.13803266016040192
10,0.1695491851247642,0.9462116956710815,0.1747992473787495,0.9329479932785034,0.6363636255264282,0.6202531456947327,0.6282051205635071,0.1546010886720134
11,0.12932182088015823,0.9496819376945496,0.1648407583790166,0.9364162087440491,0.6578947305679321,0.6329113841056824,0.6451612710952759,0.15738074532160914
12,0.1318076639564349,0.9508386850357056,0.19041505256401642,0.9364162087440491,0.7307692170143127,0.4810126721858978,0.580152690410614,0.14026475988018164
13,0.12637083099967023,0.953441321849823,0.17794439755380154,0.9352601170539856,0.6716417670249939,0.5696202516555786,0.6164383292198181,0.14715753534963116
14,0.12177050810461061,0.955754816532135,0.18487274274230003,0.9341040253639221,0.6571428775787354,0.5822784900665283,0.6174496412277222,0.14088961896479527
15,0.11507837566196782,0.9574899077415466,0.220256948244891,0.9364162087440491,0.6499999761581421,0.6582278609275818,0.6540880799293518,0.16070473797790444
16,0.12501477431335034,0.9606709480285645,0.17699799986023987,0.9445086717605591,0.7460317611694336,0.594936728477478,0.6619718074798584,0.15353818404354683
