Epoch,Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation pAUC
1,[0.0001],0.216998644857015,0.935322642326355,0.15133714210242033,0.9527559280395508,0.6666666865348816,0.025316456332802773,0.04878048598766327,0.0934792411505137
2,[9.990133642141359e-05],0.141584858244312,0.9527416229248047,0.14764369708987382,0.9533615708351135,0.6666666865348816,0.050632912665605545,0.0941176488995552,0.12956002190227714
3,[9.96057350657239e-05],0.13114071012011186,0.9595577120780945,0.14052222930611327,0.953967273235321,0.5483871102333069,0.2151898741722107,0.30909091234207153,0.13102232099719774
4,[9.911436253643444e-05],0.13484192769164624,0.9595577120780945,0.123093159421562,0.9600242376327515,0.5942028760910034,0.5189873576164246,0.5540540814399719,0.15220633233484712
5,[9.842915805643155e-05],0.1255758042483262,0.9603151082992554,0.12159877118224707,0.9612356424331665,0.7027027010917664,0.3291139304637909,0.4482758641242981,0.13446870873192254
6,[9.755282581475769e-05],0.11505411549556803,0.9641017913818359,0.1375851884099225,0.9630526900291443,0.7647058963775635,0.3291139304637909,0.4601770043373108,0.1430556897606854
7,[9.648882429441257e-05],0.11331158433253495,0.9636474251747131,0.16018841154156968,0.9582071304321289,0.8125,0.16455696523189545,0.27368420362472534,0.10233677972106801
8,[9.524135262330098e-05],0.1125153605365037,0.9641017913818359,0.1303555617073121,0.9588128328323364,0.6666666865348816,0.27848100662231445,0.3928571343421936,0.13884594324733462
9,[9.381533400219317e-05],0.1119831335440656,0.9656165242195129,0.15828801455119482,0.9612356424331665,0.692307710647583,0.3417721390724182,0.4576271176338196,0.12668534802074272
10,[9.221639627510075e-05],0.10827790664065773,0.9680399894714355,0.14805959485686168,0.9600242376327515,0.6585366129875183,0.3417721390724182,0.44999998807907104,0.140739846039875
11,[9.045084971874735e-05],0.10616451728321918,0.9704635143280029,0.1367266236965616,0.960629940032959,0.6521739363670349,0.37974682450294495,0.47999998927116394,0.13408702934260958
12,[8.852566213878945e-05],0.10116498630745831,0.9686458706855774,0.1398797386075155,0.9612356424331665,0.6744186282157898,0.3670886158943176,0.4754098355770111,0.13457983057944403
13,[8.644843137107056e-05],0.09448055309639425,0.9713723659515381,0.15704226185334846,0.9569957852363586,0.5588235259056091,0.4810126721858978,0.5170068144798279,0.1350629690469288
14,[8.422735529643442e-05],0.0994453170698964,0.9701606035232544,0.14309429956259778,0.9600242376327515,0.6585366129875183,0.3417721390724182,0.44999998807907104,0.1477179759719135
15,[8.187119948743447e-05],0.09255618444679908,0.973947286605835,0.18222467103399909,0.9600242376327515,0.5970149040222168,0.5063291192054749,0.5479452013969421,0.1389715592488807
